用户id,是否遇到网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,注明内容,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,注明内容.1,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,学习强国,其他，请注明.3,注明内容.2,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,注明内容.3,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,学习强国.1,其他，请注明.5,注明内容.4,全部网页或APP都慢,脱网次数,上网质差次数,微信质差次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
699,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,200,0,华为,TAS-AN00,22.0,200,22.1,167,0.0,7211101,0,是,三星,否
700,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,71,0,苹果,A2634,140.0,71,140.0,81,0.0,20645191,0,是,三星,是
701,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,16,0,0,否,女,5G,否,0.0,是,0.0,0.0,356,0,欧珀,PEEM00,40.0,356,39.15,432,0.0,13923509,0,是,三星,否
702,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,0.0,是,0.0,0.0,103,0,小米科技,M2102J2SC,89.0,103,89.0,95,1.36263672507644e-06,33024209,45,是,二星,否
703,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,3,4,-1,,1,-1,-1,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,17,0,0,否,女,4G,否,0.0,是,0.0,0.0,306,0,苹果,iPhone 7 A1660,48.0,306,48.0,386,0.0,8151832,0,否,三星,否
704,1,1,2,-1,-1,5,6,7,-1,,1,-1,-1,4,-1,,1,-1,-1,-1,5,-1,,-1,2,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,9,1,2,否,女,5G,否,0.0,是,0.0,0.0,136,0,苹果,A2634,109.1,136,99.8,108,0.0,31242162,0,是,三星,否
705,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,21,0,0,否,性别不详,5G,否,0.0,是,0.0,0.0,854,0,华为,TAS-AN00,198.0,854,198.0,1835,0.0,63902978,0,是,金卡,否
706,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,男,4G,否,0.0,是,0.0,0.0,143,0,魅族,M685Q,20.0,143,20.0,190,0.0,8553728,0,否,三星,否
707,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,0.0,是,0.0,0.0,93,0,欧珀,PEQM00,45.08,93,49.0,140,0.0,15405787,0,是,二星,否
708,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,35,5,0,否,性别不详,4G,否,0.0,是,0.0,0.166666666666667,72,12,华为,DVC-AN00,40.0,72,43.64,126,0.47213280634762,8338999,3937115,否,三星,否
709,1,-1,2,-1,4,5,-1,7,-1,,-1,2,-1,4,-1,,1,-1,3,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,18,21,0,否,男,5G,否,0.0,是,0.0,0.0,321,0,小米科技,M2102K1C,131.0,321,183.8,792,0.0,17645893,0,是,银卡,否
710,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,10,78,1,否,男,4G,否,0.0,是,0.0,0.0,177,0,华为,HMA-AL00,34.28,177,40.93,218,0.0,21846368,0,否,三星,否
711,1,1,-1,-1,-1,5,6,-1,-1,,1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,509,0,步步高,V2121A,45.0,509,45.0,422,0.0,16163151,0,是,一星,否
712,1,1,-1,-1,-1,-1,6,7,-1,,1,2,3,4,-1,,1,2,3,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,-1,6,-1,-1,-1,-1,,-1,6,0,1,否,女,5G,否,0.0,是,0.0,0.0655021834061135,458,30,苹果,A2634,248.0,458,248.0,429,0.30123635894029,51756976,15591083,是,金卡,否
713,1,1,-1,-1,-1,5,-1,-1,-1,,1,-1,3,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,4,否,女,5G,否,445.84,是,10.0,0.0,124,0,苹果,A2634,108.0,124,138.85,966,0.0,22434649,0,是,三星,否
714,1,1,-1,-1,-1,5,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,138,0,欧珀,PGIM10,164.0,138,143.3,157,0.0,30759312,0,是,银卡,否
715,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,7,3,0,否,男,4G,否,0.0,是,0.0,0.0,5,0,小米科技,MDE40,28.0,5,28.0,12,0.0,8395535,0,否,三星,否
716,1,-1,-1,-1,4,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,3,0,否,女,4G,否,0.0,是,0.0,0.0,35,0,0,0,31.6,35,25.0,3,0.0,2934535,0,否,三星,否
717,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,,-1,2,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,1,0,否,男,5G,否,41.21,是,7.83,0.0,14,0,华为,TAS-AN00,32.83,14,25.0,24,0.0,10612539,0,是,三星,否
718,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,0,否,男,5G,否,0.0,是,0.0,0.0,163,0,苹果,A2634,138.0,163,138.0,108,0.0,35823357,0,是,银卡,否
719,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,20,0,0,否,女,4G,否,0.0,是,0.0,0.0,221,0,华为,VIE-AL10,118.3,221,118.8,164,0.0,1232849,0,否,银卡,否
720,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1,,-1,44,0,0,否,男,5G,否,0.0,是,0.0,0.0,515,0,小米科技,M2102J2SC,208.0,515,180.0,445,0.0,19896165,0,是,银卡,是
721,1,-1,-1,-1,-1,-1,-1,-1,98,地下室,1,-1,-1,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,-1,-1,6,-1,8,-1,-1,,-1,4,0,0,否,女,5G,否,0.0,是,0.0,0.0,126,0,欧珀,PFFM10,16.15,126,16.0,46,0.0,4992965,0,是,三星,否
722,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,12,0,0,否,男,5G,否,0.0,是,0.0,0.0,116,0,华为,JEF-AN20,90.0,116,90.0,22,0.0,2300452,0,是,银卡,否
723,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,17,0,0,否,女,5G,否,0.0,是,0.0,0.0,175,0,华为,TET-AN00,168.6,175,145.0,203,0.0,22613905,0,是,银卡,否
724,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,32,0,0,否,男,4G,否,0.0,是,0.0,0.0,50,0,步步高,vivo X9s Plus,28.0,50,28.0,55,0.0,7356999,0,否,三星,否
725,1,1,2,-1,-1,-1,-1,-1,98,在公园景区里的信号就特别不好 基本都是2g网,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,9,0,8,否,男,4G,否,0.0,是,0.0,0.0,88,0,苹果,iPhone X A1865,98.0,88,98.0,84,0.0,6361574,0,否,三星,是
726,1,-1,-1,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,5,0,0,否,男,5G,否,0.0,是,0.0,0.0,49,0,华为,TAS-AN00,98.19,49,98.1,63,0.0,7754987,0,是,三星,是
727,1,1,-1,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,7,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,4,5,-1,-1,-1,-1,-1,,-1,33,0,2,否,男,5G,是,0.0,是,0.0,0.0,271,0,华为,TAS-AN00,128.0,271,128.0,198,0.0,24178943,0,是,银卡,否
728,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,7,0,0,否,男,5G,否,0.0,是,0.0,0.0,25,0,华为,OXF-AN10,45.48,25,38.52,34,0.0,145668272,0,是,二星,否
729,1,1,-1,-1,4,5,6,7,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,0,0,否,女,4G,否,0.0,是,0.0,0.0,62,0,华为,NOH-AN00,90.3,62,87.5,32,0.0,3265380,0,否,三星,否
730,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,66,0,0,否,女,5G,否,0.0,是,0.0,0.0,175,0,欧珀,PDRM00,89.0,175,89.0,424,0.0,1935956,0,是,三星,否
731,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,0,否,男,4G,否,0.0,是,0.0,0.0,729,0,华为,SPN-AL00,180.0,729,180.0,399,0.0,40163818,0,否,金卡,否
732,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,男,4G,否,0.0,是,0.0,0.0,48,0,苹果,A2220,54.36,48,44.32,40,0.0,22105752,0,否,三星,否
733,1,1,2,-1,4,5,6,7,-1,,-1,2,3,4,-1,,1,-1,3,4,5,-1,,-1,-1,3,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,3,4,5,6,7,8,-1,-1,,-1,1,0,0,否,女,5G,否,297.17,是,20.0,0.0,211,0,华为,LIO-AN00,80.4,211,59.0,300,0.0,58125895,0,是,三星,否
734,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,0,0,否,男,4G,否,0.0,是,0.0,0.0,102,0,华为,EVA-TL00,89.0,102,89.0,95,0.0,3083454,0,否,三星,否
735,1,-1,2,-1,-1,-1,-1,-1,-1,,1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,6,0,华为,HUAWEI NXT-TL00,49.2,6,49.0,25,0.0,1714064,0,否,未评级,否
736,1,1,-1,-1,-1,5,-1,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,12,0,0,否,女,5G,否,0.0,是,0.0,0.0,26,0,华为,CDY-AN00,34.0,26,39.0,29,0.0,5728281,0,是,三星,否
737,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,,1,-1,3,4,-1,-1,,-1,-1,3,-1,-1,-1,-1,-1,9,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,-1,-1,-1,7,-1,-1,-1,,-1,0,0,0,否,女,4G,是,0.0,是,0.0,0.0,29,0,华为,JEF-AN00,54.9,29,45.0,273,0.0,192957934,0,否,二星,否
738,1,1,2,-1,4,-1,-1,-1,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,51,0,0,否,男,5G,否,0.0,是,0.0,0.0,130,0,小米科技,2112123AC,142.0,130,142.0,69,0.0,103224427,0,是,银卡,否
739,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,3,否,男,5G,否,0.0,是,0.0,0.0,243,0,华为,BRQ-AN00,39.0,243,39.0,127,0.0,4471780,0,是,三星,否
740,1,1,-1,-1,-1,-1,6,-1,-1,,-1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,11913.18,是,94.0,0.0,31,0,欧珀,PEQM00,115.1,31,106.1,85,0.0,116090114,0,是,一星,否
741,1,1,-1,-1,-1,5,-1,7,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,94,0,苹果,A2634,48.0,94,48.0,20,0.0,40338234,0,是,二星,否
742,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,364.22,是,5.0,0.0,905,0,欧珀,PFFM10,140.0,905,140.0,591,0.0,103303645,0,是,银卡,否
743,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,26,0,苹果,A2644,150.0,26,150.0,27,0.0,28749325,0,否,二星,否
744,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,59,0,0,否,男,5G,否,0.0,是,0.0,0.0,384,0,欧珀,PEHM00,111.0,384,111.1,241,0.0,21664649,0,是,银卡,否
745,1,1,-1,-1,-1,-1,-1,7,-1,,-1,-1,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,16,0,0,否,男,5G,否,0.0,是,0.0,0.0,221,0,华为,ELS-AN00,121.0,221,121.0,83,0.0,13640412,0,是,银卡,否
746,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,0,0,否,男,4G,是,0.0,是,0.0,0.0,40,0,华为,ARE-AL10,49.0,40,40.0,79,0.0,4389307,0,否,三星,否
747,1,1,-1,-1,4,5,6,-1,-1,,1,2,-1,4,-1,,1,-1,3,4,5,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,79,0,3,否,男,4G,否,0.0,是,0.0,0.0,239,0,步步高,vivo X21i,178.0,239,178.1,181,0.0,17705162,0,否,银卡,是
748,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,0,否,男,5G,否,0.0,是,0.0,0.0,166,0,华为,NOP-AN00,25.0,166,25.0,120,0.0,4264687,0,是,三星,否
749,1,-1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,5,0,0,否,女,5G,否,0.0,是,0.0,0.0,145,0,苹果,A2412,38.32,145,29.0,96,0.0,14657461,0,是,三星,否
750,1,1,2,-1,4,-1,-1,-1,-1,,1,-1,-1,4,-1,,-1,-1,3,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,3,4,-1,-1,7,-1,-1,-1,,-1,4,0,0,否,男,5G,否,0.0,是,0.0,0.0,24,0,小米科技,M2007J1SC,58.0,24,58.0,45,0.0,3160923,0,是,三星,否
751,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,40,0,0,否,女,4G,否,0.0,是,0.0,0.0,61,0,欧珀,PECM30,65.0,61,59.3,98,0.0,6540791,0,否,三星,否
752,1,-1,-1,-1,-1,-1,6,-1,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,111,0,华为,ELS-AN00,60.0,111,60.0,85,0.0,10526294,0,是,三星,是
753,1,1,-1,-1,-1,5,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,男,5G,否,0.0,是,0.0,0.0,376,0,苹果,A2634,131.0,376,192.63,850,0.0,11199551,0,是,银卡,否
