用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,重定向次数,重定向驻留时长,家宽投诉,资费投诉,4\5G用户,语音方式,是否关怀用户,是否去过营业厅,ARPU（家庭宽带）,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,是否实名登记用户,客户星级标识,当月欠费金额,前第3个月欠费金额
2012,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,16,0,658.0,46551.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,745,0,苹果,A2400,70.2,745,0.0,801,0.0,36669528,0,是,是,三星,0.0,0.0
2013,4,5,4,5,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,0,6,0,,,0,0,4G,VOLTE,,是,5.0,0.0,是,0.0,0.0,212,0,小米科技,HMK20M1903F10A,154.2,212,5.0,330,0.0,724064,0,否,否,银卡,0.0,0.0
2014,8,8,8,8,1,1,-1,-1,-1,5,-1,-1,-1,,1,2,3,4,5,6,-1,,0,4,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,60.0,0.0,225,0,华为,CLT-AL00,108.0,225,0.0,231,0.0,3338384,0,否,否,三星,0.0,0.0
2015,1,1,5,4,1,1,-1,-1,4,-1,6,-1,-1,,1,-1,-1,4,-1,-1,-1,,42,16,3,1931.0,50959.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,1458,0,步步高,V2061A,219.09,1458,0.0,1815,0.0,7639495,0,是,否,二星,0.0,0.0
2016,6,6,6,6,1,1,2,-1,4,5,-1,-1,-1,,1,2,-1,-1,-1,-1,-1,,24,0,0,903.0,23869.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,276,0,苹果,A2644,188.0,276,0.0,393,0.0,35025628,0,是,否,金卡,0.0,0.0
2017,5,1,5,5,1,1,2,-1,-1,-1,-1,-1,-1,,1,2,-1,-1,-1,-1,-1,,25,7,0,1028.0,28544.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,260,0,苹果,A2639,208.2,260,0.0,383,0.0,13126225,0,是,否,银卡,0.0,0.0
2018,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,8,0,,,1,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,656,0,苹果,A2404,60.75,656,0.0,608,0.0,15634883,0,否,否,三星,0.0,0.0
2019,10,8,10,8,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,6,-1,,7,4,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,10.0,0.0,485,0,苹果,iPhone 6 A1586,101.82,485,0.0,377,0.0,1877912,0,否,否,三星,0.0,0.0
2020,8,7,8,7,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,154.0,3050.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,97,0,欧珀,PFDM00,38.0,97,0.0,141,0.0,4639149,0,是,否,三星,0.0,0.0
2021,9,9,9,10,1,1,-1,-1,4,-1,-1,-1,-1,,1,-1,-1,-1,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,81,0,华为,ANY-AN00,126.0,81,0.0,221,0.0,13595961,0,是,否,银卡,0.0,0.0
2022,10,10,10,10,1,-1,-1,-1,-1,5,-1,-1,-1,,1,2,3,-1,-1,-1,-1,,0,6,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,262,0,苹果,A2223,75.0,262,0.0,370,0.0,23007202,0,否,否,三星,0.0,0.0
2023,10,10,10,10,1,1,-1,-1,-1,5,-1,-1,98,酒店,1,2,-1,-1,-1,6,-1,,24,2,0,572.0,13747.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,205,0,苹果,A2404,216.0,205,0.0,145,0.0,14401560,0,是,否,银卡,0.0,0.0
2024,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,77,0,华为,ANG-AN00,58.0,77,0.0,131,0.0,3151181,0,是,否,三星,0.0,0.0
2025,4,7,8,5,1,1,-1,-1,-1,5,-1,7,-1,,1,-1,-1,-1,-1,6,-1,,28,8,1,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,312,0,苹果,A2220,42.0,312,0.0,301,0.0,24463002,0,否,否,三星,0.0,0.0
2026,8,7,7,7,1,1,-1,-1,4,5,6,-1,-1,,1,2,3,4,-1,-1,-1,,0,14,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,350,0,苹果,A2223,51.28,350,0.0,410,0.0,21329644,0,否,否,三星,0.0,0.0
2027,10,9,9,9,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,23,23,2,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,1344,0,苹果,A2404,130.0,1344,0.0,1560,0.0,7550914,0,是,否,银卡,0.0,0.0
2028,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,86,0,华为,TAS-AL00,58.2,86,0.0,215,0.0,7419144,0,否,否,三星,0.0,0.0
2029,9,9,9,9,1,1,2,-1,4,-1,-1,7,-1,,1,2,3,-1,-1,-1,-1,,0,14,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,130,0,苹果,A2639,98.0,130,0.0,150,0.0,14157065,0,是,否,三星,0.0,0.0
2030,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,267,0,华为,HLK-AL00,30.0,267,0.0,515,0.0,22039790,0,否,否,二星,0.0,0.0
2031,8,8,9,7,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,3,-1,-1,-1,-1,,6,4,4,248.0,9178.0,0,0,5G,EPSFB,,是,0.0,33.47,是,10.0,0.0,235,0,苹果,A2342,70.0,235,0.0,186,0.0,4307782,0,是,否,三星,0.0,0.0
2032,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,199,0,华为,TEL_AN10,39.26,199,0.0,255,0.0,3292685,0,是,否,三星,0.0,0.0
2033,5,6,5,5,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,5,-1,-1,,24,7,2,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,374,0,苹果,A2639,191.0,374,0.0,297,0.0,39871017,0,是,否,银卡,0.0,0.0
2034,9,9,9,8,1,1,-1,-1,-1,5,-1,-1,-1,,1,2,-1,4,-1,6,-1,,0,8,0,,,0,0,4G,VOLTE,,,9.0,0.0,是,0.0,0.0,329,0,华为,VOG-L29,110.0,329,9.0,527,0.0,11217797,0,否,否,银卡,0.0,0.0
2035,9,8,9,9,1,1,-1,-1,-1,5,6,-1,-1,,-1,-1,3,4,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,55,0,苹果,iPhone 8 A1863,28.3,55,0.0,143,0.0,5936722,0,否,否,三星,0.0,0.0
2036,9,8,9,8,1,-1,2,-1,-1,5,-1,-1,-1,,-1,-1,3,4,5,-1,-1,,7,4,4,,,0,0,4G,VOLTE,,是,0.0,0.0,是,10.0,0.0,175,0,苹果,A2108,35.45,175,0.0,232,0.0,16131983,0,否,否,三星,0.0,0.0
2037,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,37.0,740.0,0,0,5G,VONR,,,0.0,0.0,是,0.0,0.0,958,0,欧珀,PEPM00,48.2,958,0.0,495,0.0,6985294,0,是,否,一星,0.0,0.0
2038,7,7,7,7,1,1,2,-1,-1,5,-1,7,-1,,-1,-1,-1,4,-1,6,-1,,0,10,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,379,0,步步高,V2047A,78.59,379,0.0,353,0.0,20625231,0,是,否,三星,0.0,0.0
2039,5,5,3,8,1,-1,2,-1,4,5,-1,7,-1,,-1,2,-1,4,-1,6,-1,,14,7,0,2362.0,118030.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,792,0,苹果,A2644,140.0,792,0.0,661,0.0,21169602,0,是,是,银卡,0.0,0.0
2040,10,10,10,10,1,-1,-1,-1,-1,5,-1,7,-1,,-1,-1,-1,4,-1,-1,-1,,0,0,3,608.0,16172.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,1544,0,华为,TET-AN50,204.29,1544,0.0,1028,0.0,20414666,0,是,否,银卡,0.0,0.0
2041,10,10,10,10,1,1,-1,-1,4,5,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,2494,0,华为,BRQ-AN00,154.0,2494,0.0,1638,0.0,126589298,0,是,否,银卡,0.0,0.0
2042,8,8,9,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,6,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,224,0,苹果,A2108,10.0,224,0.0,269,0.0,81035,0,否,是,准星,0.0,0.0
2043,1,1,1,1,1,-1,2,-1,-1,-1,6,-1,-1,,-1,-1,-1,-1,-1,6,-1,,6,7,1,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,107,0,苹果,iPhone 8 A1863,46.41,107,0.0,221,0.0,4355660,0,否,是,二星,0.0,0.0
2044,10,9,10,10,1,1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,0,4,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,294,0,苹果,A2108,61.0,294,0.0,319,0.0,24867124,0,否,否,三星,0.0,0.0
2045,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,6,1,,,1,0,4G,VOLTE,,是,9.0,0.0,是,0.0,0.0,843,0,苹果,A2223,150.0,843,9.0,721,0.0,36536365,0,否,否,金卡,0.0,0.0
2046,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,23,4,18,7.0,763.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,1137,0,华为,TAS-AN00,65.0,1137,0.0,2216,0.0,23555963,0,是,否,三星,0.0,0.0
2047,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,10,0,533.0,21142.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,805,0,苹果,A2639,205.0,805,0.0,807,0.0,44914660,0,是,否,银卡,0.0,0.0
2048,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,23,2,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,320,0,苹果,A2217,60.7,320,0.0,277,0.0,20061196,0,否,否,三星,0.0,0.0
2049,7,7,6,6,1,-1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,5,6,-1,,0,8,0,2362.0,347670.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,1322,0,苹果,A2634,72.0,1322,0.0,1755,0.0,38052559,0,是,否,三星,0.0,9.83
2050,10,10,10,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,,,0,0,5G,EPSFB,,是,0.0,168.57,是,5.0,0.0,206,0,苹果,A2634,183.0,206,0.0,495,0.0,87935525,0,是,否,金卡,0.0,0.0
2051,8,8,8,8,1,1,-1,-1,-1,5,-1,-1,-1,,1,-1,3,-1,-1,6,-1,,23,0,0,184.0,4520.0,0,0,5G,EPSFB,是,,0.0,0.0,是,0.0,0.0,388,0,华为,BRQ-AN00,89.0,388,0.0,211,0.0,19631833,0,是,否,三星,58.32,90.0
2052,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,23,2,0,,,0,0,4G,VOLTE,是,,0.0,0.0,是,0.0,0.0,109,0,步步高,vivo X21A,45.1,109,0.0,49,0.0,30615737,0,否,否,三星,0.0,0.0
2053,8,8,8,8,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,3,4,-1,6,-1,,23,7,0,194.0,7510.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,465,0,苹果,A2412,75.0,465,0.0,405,0.0,16105143,0,是,否,三星,0.0,0.0
2054,10,8,9,9,1,1,-1,-1,-1,5,-1,-1,-1,,1,2,3,-1,5,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,530,0,华为,TAS-AN00,20.52,530,0.0,368,0.0,9945768,0,否,否,三星,0.0,0.0
2055,10,10,10,10,1,1,-1,-1,-1,5,-1,7,-1,,-1,-1,-1,4,-1,6,-1,,0,6,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,399,0,苹果,A2223,85.0,399,0.0,359,0.0,29003319,0,否,否,三星,0.0,0.0
2056,5,1,10,1,1,1,2,-1,4,5,6,7,98,高速公路,1,2,3,4,5,6,-1,,6,3,0,,,0,0,4G,VOLTE,,是,9.0,0.0,是,0.0,0.0,532,0,苹果,iPhone 7Plus A1661,160.0,532,9.0,850,0.0,55381356,0,否,否,银卡,0.0,106.78
2057,10,10,10,10,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,689,0,华为,ELS-AN00,58.0,689,0.0,1280,0.0,38850007,0,是,否,三星,0.0,0.0
2058,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,9,2,0,,,1,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,373,0,华为,AQM-AL00,71.0,373,0.0,382,0.0,9392756,0,否,否,三星,0.0,0.0
2059,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,1,109.0,1923.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,663,0,华为,ANA-AN00,63.0,663,0.0,614,0.0,7808740,0,是,否,三星,0.0,0.0
2060,8,7,8,7,1,-1,2,-1,-1,-1,-1,7,-1,,-1,-1,3,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,316,0,苹果,iPhone 8 Plus A1864,43.25,316,0.0,198,0.0,11228737,0,否,否,三星,0.0,0.0
2061,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,264,0,苹果,A2412,166.0,264,0.0,240,0.0,69583205,0,是,否,银卡,0.0,0.0
2062,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,22,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,145,0,华为,TEL-AN00a,21.0,145,0.0,100,0.0,7032490,0,否,是,一星,0.0,0.0
2063,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,12,0,192.0,6316.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,136,0,苹果,A2412,71.0,136,0.0,298,0.0,8833553,0,是,否,三星,0.0,0.0
2064,7,8,10,3,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,98,北京四环有好几个地方断线,0,5,8,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,1109,0,苹果,A2108,174.92,1109,0.0,887,0.0,11666321,0,否,否,银卡,0.0,0.0
2065,10,10,7,5,1,1,2,-1,-1,5,-1,7,-1,,1,-1,3,4,5,6,-1,,0,22,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,1255,0,苹果,iPhone X A1865,169.1,1255,0.0,1353,0.0,4615966,0,否,否,银卡,160.86,151.36
2066,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,139,0,步步高,V2046A,80.0,139,0.0,189,0.0,3206564,0,是,否,银卡,0.0,0.0
2067,10,8,8,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,22,8,0,1107.0,43727.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,505,0,苹果,A2644,133.0,505,0.0,288,0.0,29616280,0,是,否,银卡,0.0,0.0
2068,8,9,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,22,4,4,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,620,0,小米科技,M2001J1C,85.0,620,0.0,672,0.0,14394369,0,是,否,三星,0.0,0.0
2069,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,27,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,231,0,苹果,A2223,90.0,231,0.0,124,0.0,10079758,0,否,是,银卡,0.0,0.0
2070,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,27,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,218,0,欧珀,PDAM10,44.9,218,0.0,200,0.0,3272652,0,否,是,二星,0.0,0.0
2071,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,426.0,10898.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,1215,0,华为,ELS-AN00,160.0,1215,0.0,1150,0.0,9403046,0,是,否,银卡,0.0,0.0
2072,7,6,7,5,1,1,-1,-1,4,5,6,7,-1,,1,2,3,4,-1,6,-1,,0,8,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,305,0,华为,HMA-AL00,90.0,305,0.0,228,0.0,12392794,0,否,否,三星,0.0,0.0
2073,10,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,174,0,苹果,A2104,15.0,174,0.0,195,0.0,3814313,0,否,否,三星,0.0,0.0
2074,10,10,10,10,1,-1,-1,-1,-1,5,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,74,8,0,,,1,0,4G,VOLTE,,,9.0,0.0,是,0.0,0.0,211,0,苹果,iPhone X A1865,93.0,211,9.0,489,0.0,14934352,0,否,否,银卡,0.0,0.0
2075,10,10,10,10,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,0,4,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,50,0,苹果,A2408,119.1,50,0.0,242,0.0,26403236,0,否,否,银卡,0.0,0.0
2076,8,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,165,0,步步高,V1813T,63.0,165,0.0,237,0.0,7916294,0,否,否,三星,0.0,0.0
2077,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,,,0,0,4G,VOLTE,,是,0.0,410.89,是,9.86,0.0,392,0,华为,ALP-AL00,121.31,392,0.0,289,0.0,35077591,0,否,否,银卡,0.0,73.99
2078,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,134,0,华为,BAC-AL00,292.5,134,0.0,176,0.0,2200589,0,否,否,白金卡,0.0,0.0
2079,10,10,10,10,1,-1,2,-1,-1,-1,-1,7,-1,,1,2,-1,4,-1,6,-1,,26,2,0,1406.0,118309.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,213,0,苹果,A2404,124.1,213,0.0,320,0.0,28807026,0,是,否,银卡,0.0,0.0
2080,10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,3,4,5,6,-1,,0,12,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,275,0,苹果,iPhone 7Plus A1661,98.0,275,0.0,418,0.0,23910453,0,否,否,三星,93.08,78.81
2081,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,10,4,2,74.0,1998.0,0,0,5G,EPSFB,,是,0.0,254.62,是,5.0,0.0,303,0,苹果,A2644,105.0,303,0.0,523,0.0,33997165,0,是,是,银卡,0.0,0.0
2082,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,124,0,步步高,V1816A,20.0,124,0.0,161,0.0,1708722,0,否,是,二星,0.0,0.0
2083,10,1,10,1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,-1,4,-1,-1,-1,,7,16,1,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,523,0,苹果,A2104,49.5,523,0.0,597,0.0,14620771,0,否,否,三星,0.0,0.0
2084,8,8,7,9,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,0,2,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,120,0,华为,YAL-AL10,90.0,120,0.0,151,0.0,24117616,0,否,否,银卡,0.0,0.0
2085,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,-1,4,-1,6,-1,,0,0,0,77.0,3112.0,1,0,5G,EPSFB,,是,9.0,0.0,是,0.0,0.0,293,0,华为,NOH-AN00,78.0,293,9.0,282,0.0,10684390,0,是,是,银卡,0.0,0.0
2086,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,1,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,661,0,苹果,A2298,90.0,661,0.0,631,0.0,18269522,0,否,否,三星,0.0,0.0
2087,10,10,9,10,1,1,-1,-1,4,-1,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,0,6,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,703,0,小米科技,M1901F7BE,70.0,703,0.0,525,0.0,3320658,0,否,否,三星,37.63,57.63
2088,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,24,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,558,0,华为,INE-AL00,20.0,558,0.0,442,0.0,298923,0,否,否,三星,0.0,0.0
2089,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,22,0,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,502,0,步步高,V2046A,0.0,502,0.0,438,0.0,35776430,0,否,是,未评级,0.0,0.0
2090,8,8,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,22,0,1,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,183,0,苹果,iPhone 6 Plus A1524,58.0,183,0.0,252,0.0,26869504,0,否,否,三星,0.0,0.0
2091,7,1,10,5,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,6,-1,,7,14,1,374.0,9400.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,611,0,苹果,A2634,143.0,611,0.0,413,0.0,1736386,0,是,否,银卡,0.0,0.0
2092,2,1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,,1,2,-1,-1,-1,-1,-1,,6,8,0,1545.0,67217.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,624,0,苹果,A2639,130.0,624,0.0,683,0.0,30897096,0,是,否,银卡,68.6,0.0
2093,5,5,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,7,0,30.0,780.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,2292,0,华为,ELS-AN00,71.84,2292,0.0,1678,0.0,1560206,0,是,是,二星,0.0,0.0
2094,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,173,0,小米科技,M2012K11AC,17.76,173,0.0,164,0.0,1580615,0,是,否,三星,0.0,0.0
2095,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,10,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,236,0,苹果,A2412,65.0,236,0.0,286,0.0,10697927,0,否,否,三星,0.0,0.0
2096,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,3,4,5,6,-1,,0,7,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,451,0,苹果,A2108,165.0,451,0.0,502,0.0,9365992,0,否,否,银卡,0.0,0.0
2097,5,5,5,1,1,1,-1,-1,-1,5,-1,-1,-1,,1,2,-1,4,-1,6,-1,,0,7,4,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,2824,0,小米科技,M1805E2A,20.0,2824,0.0,3839,0.0,23518060,0,否,否,二星,0.0,0.0
2098,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,22,7,1,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,564,0,步步高,V2031A,94.77,564,0.0,719,0.0,11090438,0,是,是,三星,0.0,0.0
2099,9,7,8,7,1,1,-1,-1,-1,5,-1,7,-1,,1,-1,3,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,430,0,小米科技,21091116C,90.23,430,0.0,199,0.0,24976765,0,否,否,三星,0.0,0.0
